Room,Cluster,Batch,Department,Exam Day,Student Name,Student ID,Faculty
Room 1,0,19,CS,Monday,John Smith,101,Michael Brown
Room 1,0,19,CS,Monday,Alice Johnson,102,Michael Brown
Room 1,0,20,CS,Monday,Robert Garcia,109,Michael Brown
Room 1,0,20,CS,Monday,Emma White,110,Michael Brown
Room 1,0,21,CS,Monday,Joseph Carter,117,Michael Brown
Room 1,0,21,CS,Monday,Abigail Young,118,Michael Brown
Room 1,0,22,CS,Monday,David Harris,125,Michael Brown
Room 1,0,22,CS,Monday,Samantha Allen,126,Michael Brown
Room 1,0,19,CS,Monday,John Smith,133,Michael Brown
Room 1,0,19,CS,Monday,Alice Johnson,134,Michael Brown
Room 1,0,20,CS,Monday,Robert Garcia,141,Michael Brown
Room 1,0,20,CS,Monday,Emma White,142,Michael Brown
Room 1,0,21,CS,Monday,Joseph Carter,149,Michael Brown
Room 1,0,21,CS,Monday,Abigail Young,150,Michael Brown
Room 1,0,22,CS,Monday,David Harris,157,Michael Brown
Room 1,0,22,CS,Monday,Samantha Allen,158,Michael Brown
Room 1,0,19,CS,Monday,John Smith,165,Michael Brown
Room 1,0,19,CS,Monday,Alice Johnson,166,Michael Brown
Room 1,0,20,CS,Monday,Robert Garcia,173,Michael Brown
Room 1,0,20,CS,Monday,Emma White,174,Michael Brown
Room 1,0,21,CS,Monday,Joseph Carter,181,Michael Brown
Room 1,0,21,CS,Monday,Abigail Young,182,Michael Brown
Room 1,0,22,CS,Monday,David Harris,189,Michael Brown
Room 1,0,22,CS,Monday,Samantha Allen,190,Michael Brown
Room 1,0,19,CS,Monday,John Smith,197,Michael Brown
Room 1,0,19,CS,Monday,Alice Johnson,198,Michael Brown
Room 1,0,20,CS,Monday,Robert Garcia,205,Michael Brown
Room 1,0,20,CS,Monday,Emma White,206,Michael Brown
Room 1,0,21,CS,Monday,Joseph Carter,213,Michael Brown
Room 1,0,21,CS,Monday,Abigail Young,214,Michael Brown
Room 2,0,22,CS,Monday,David Harris,221,Abigail Young
Room 2,0,22,CS,Monday,Samantha Allen,222,Abigail Young
Room 2,0,19,CS,Monday,John Smith,224,Abigail Young
Room 2,0,19,CS,Monday,Alice Johnson,225,Abigail Young
Room 2,0,20,CS,Monday,Robert Garcia,232,Abigail Young
Room 2,0,20,CS,Monday,Emma White,233,Abigail Young
Room 2,0,21,CS,Monday,Joseph Carter,240,Abigail Young
Room 2,0,21,CS,Monday,Abigail Young,241,Abigail Young
Room 2,0,22,CS,Monday,David Harris,248,Abigail Young
Room 2,0,22,CS,Monday,Samantha Allen,249,Abigail Young
Room 2,0,19,CS,Monday,John Smith,256,Abigail Young
Room 2,0,19,CS,Monday,Alice Johnson,257,Abigail Young
Room 2,0,20,CS,Monday,Robert Garcia,264,Abigail Young
Room 2,0,20,CS,Monday,Emma White,265,Abigail Young
Room 2,0,21,CS,Monday,Joseph Carter,272,Abigail Young
Room 2,0,21,CS,Monday,Abigail Young,273,Abigail Young
Room 2,0,22,CS,Monday,David Harris,280,Abigail Young
Room 2,0,22,CS,Monday,Samantha Allen,281,Abigail Young
Room 2,0,19,CS,Monday,John Smith,288,Abigail Young
Room 2,0,19,CS,Monday,Alice Johnson,289,Abigail Young
Room 2,0,20,CS,Monday,Robert Garcia,296,Abigail Young
Room 2,0,20,CS,Monday,Emma White,297,Abigail Young
Room 2,0,21,CS,Monday,Joseph Carter,304,Abigail Young
Room 2,0,21,CS,Monday,Abigail Young,305,Abigail Young
Room 2,0,22,CS,Monday,David Harris,312,Abigail Young
Room 2,0,22,CS,Monday,Samantha Allen,313,Abigail Young
Room 2,0,19,CS,Monday,John Smith,320,Abigail Young
Room 2,0,19,CS,Monday,Alice Johnson,321,Abigail Young
Room 2,0,20,CS,Monday,Robert Garcia,328,Abigail Young
Room 2,0,20,CS,Monday,Emma White,329,Abigail Young
Room 3,0,21,CS,Monday,Joseph Carter,336,Emma White
Room 3,0,21,CS,Monday,Abigail Young,337,Emma White
Room 3,0,22,CS,Monday,David Harris,344,Emma White
Room 3,0,22,CS,Monday,Samantha Allen,345,Emma White
Room 3,0,19,CS,Monday,John Smith,347,Emma White
Room 3,0,19,CS,Monday,Alice Johnson,348,Emma White
Room 3,0,20,CS,Monday,Robert Garcia,355,Emma White
Room 3,0,20,CS,Monday,Emma White,356,Emma White
Room 3,0,21,CS,Monday,Joseph Carter,363,Emma White
Room 3,0,21,CS,Monday,Abigail Young,364,Emma White
Room 3,0,22,CS,Monday,David Harris,371,Emma White
Room 3,0,22,CS,Monday,Samantha Allen,372,Emma White
Room 3,0,19,CS,Monday,John Smith,379,Emma White
Room 3,0,19,CS,Monday,Alice Johnson,380,Emma White
Room 3,0,20,CS,Monday,Robert Garcia,387,Emma White
Room 3,0,20,CS,Monday,Emma White,388,Emma White
Room 3,0,21,CS,Monday,Joseph Carter,395,Emma White
Room 3,0,21,CS,Monday,Abigail Young,396,Emma White
Room 3,0,22,CS,Monday,David Harris,403,Emma White
Room 3,0,22,CS,Monday,Samantha Allen,404,Emma White
Room 3,0,19,CS,Monday,John Smith,411,Emma White
Room 3,0,19,CS,Monday,Alice Johnson,412,Emma White
Room 3,0,20,CS,Monday,Robert Garcia,419,Emma White
Room 3,0,20,CS,Monday,Emma White,420,Emma White
Room 3,0,21,CS,Monday,Joseph Carter,427,Emma White
Room 3,0,21,CS,Monday,Abigail Young,428,Emma White
Room 3,0,22,CS,Monday,David Harris,435,Emma White
Room 3,0,22,CS,Monday,Samantha Allen,436,Emma White
Room 3,0,19,CS,Monday,John Smith,443,Emma White
Room 3,0,19,CS,Monday,Alice Johnson,444,Emma White
Room 4,0,20,CS,Monday,Robert Garcia,451,John Smith
Room 4,0,20,CS,Monday,Emma White,452,John Smith
Room 4,0,21,CS,Monday,Joseph Carter,459,John Smith
Room 4,0,21,CS,Monday,Abigail Young,460,John Smith
Room 4,0,22,CS,Monday,David Harris,467,John Smith
Room 4,0,22,CS,Monday,Samantha Allen,468,John Smith
Room 4,0,19,CS,Monday,John Smith,470,John Smith
Room 4,0,19,CS,Monday,Alice Johnson,471,John Smith
Room 4,0,20,CS,Monday,Robert Garcia,478,John Smith
Room 4,0,20,CS,Monday,Emma White,479,John Smith
Room 4,0,21,CS,Monday,Joseph Carter,486,John Smith
Room 4,0,21,CS,Monday,Abigail Young,487,John Smith
Room 4,0,22,CS,Monday,David Harris,494,John Smith
Room 4,0,22,CS,Monday,Samantha Allen,495,John Smith
Room 4,0,19,CS,Monday,John Smith,502,John Smith
Room 4,0,19,CS,Monday,Alice Johnson,503,John Smith
Room 4,0,20,CS,Monday,Robert Garcia,510,John Smith
Room 4,0,20,CS,Monday,Emma White,511,John Smith
Room 4,0,21,CS,Monday,Joseph Carter,518,John Smith
Room 4,0,21,CS,Monday,Abigail Young,519,John Smith
Room 4,0,22,CS,Monday,David Harris,526,John Smith
Room 4,0,22,CS,Monday,Samantha Allen,527,John Smith
Room 4,0,19,CS,Monday,John Smith,534,John Smith
Room 4,0,19,CS,Monday,Alice Johnson,535,John Smith
Room 4,0,20,CS,Monday,Robert Garcia,542,John Smith
Room 4,0,20,CS,Monday,Emma White,543,John Smith
Room 4,0,21,CS,Monday,Joseph Carter,550,John Smith
Room 4,0,21,CS,Monday,Abigail Young,551,John Smith
Room 4,0,22,CS,Monday,David Harris,558,John Smith
Room 4,0,22,CS,Monday,Samantha Allen,559,John Smith
Room 5,0,19,CS,Monday,John Smith,566,Jessica Thompson
Room 5,0,19,CS,Monday,Alice Johnson,567,Jessica Thompson
Room 5,0,20,CS,Monday,Robert Garcia,574,Jessica Thompson
Room 5,0,20,CS,Monday,Emma White,575,Jessica Thompson
Room 5,0,21,CS,Monday,Joseph Carter,582,Jessica Thompson
Room 5,0,21,CS,Monday,Abigail Young,583,Jessica Thompson
Room 5,0,22,CS,Monday,David Harris,590,Jessica Thompson
Room 5,0,22,CS,Monday,Samantha Allen,591,Jessica Thompson
Room 5,0,19,CS,Monday,John Smith,593,Jessica Thompson
Room 5,0,19,CS,Monday,Alice Johnson,594,Jessica Thompson
Room 5,0,20,CS,Monday,Robert Garcia,601,Jessica Thompson
Room 5,0,20,CS,Monday,Emma White,602,Jessica Thompson
